row,ticker,frequency,score,buy_bin
27,GME,7554,360351,buy
23,AMC,5879,206158,buy
7,PLTR,4992,90611,buy
71,YOU,934,57297,bin
92,NOK,936,44803,buy
32,SNDL,1252,37284,buy
9,WISH,1826,35522,buy
25,TSLA,2119,30824,buy
28,CLOV,1544,28758,buy
117,MVIS,1303,27584,buy
1,CLNE,1373,26641,buy
83,FOR,338,24087,bin
8,TLRY,1311,23135,buy
16,ALL,356,20279,bin
81,ARE,390,19128,bin
78,GET,350,16589,bin
384,MIND,8,15207,bin
22,UWMC,981,14844,buy
11,EOD,627,14158,bin
0,AAPL,949,13625,buy
31,RKT,918,13028,buy
18,CAN,141,12593,bin
102,PLAY,36,11003,bin
30,WKHS,655,10360,buy
5,NIO,585,8015,buy
15,EDIT,42,7129,buy
41,CLF,471,7090,buy
44,OUT,110,6896,bin
2,AMD,629,6643,buy
10,NOW,241,6304,bin
14,SPCE,440,6017,buy
42,CRSR,288,5124,buy
46,ASO,399,5019,buy
124,OCGN,323,4981,buy
19,SEE,52,4848,bin
