,ticker,frequency,score
27,GME,7554.0,360351.0
23,AMC,5879.0,206158.0
7,PLTR,4992.0,90611.0
71,YOU,934.0,57297.0
92,NOK,936.0,44803.0
32,SNDL,1252.0,37284.0
9,WISH,1826.0,35522.0
25,TSLA,2119.0,30824.0
28,CLOV,1544.0,28758.0
117,MVIS,1303.0,27584.0
1,CLNE,1373.0,26641.0
83,FOR,338.0,24087.0
8,TLRY,1311.0,23135.0
16,ALL,356.0,20279.0
81,ARE,390.0,19128.0
78,GET,350.0,16589.0
384,MIND,8.0,15207.0
22,UWMC,981.0,14844.0
11,EOD,627.0,14158.0
0,AAPL,949.0,13625.0
31,RKT,918.0,13028.0
18,CAN,141.0,12593.0
102,PLAY,36.0,11003.0
30,WKHS,655.0,10360.0
5,NIO,585.0,8015.0
15,EDIT,42.0,7129.0
41,CLF,471.0,7090.0
44,OUT,110.0,6896.0
2,AMD,629.0,6643.0
10,NOW,241.0,6304.0
14,SPCE,440.0,6017.0
42,CRSR,288.0,5124.0
46,ASO,399.0,5019.0
124,OCGN,323.0,4981.0
19,SEE,52.0,4848.0
107,MNMD,248.0,4834.0
177,HAS,66.0,4818.0
101,NEXT,63.0,4725.0
171,TWO,16.0,4666.0
54,LFG,126.0,3994.0
109,OPEN,148.0,3856.0
29,SOFI,243.0,3855.0
264,POST,9.0,3781.0
26,DKNG,283.0,3724.0
43,LOVE,95.0,3623.0
212,TRUE,13.0,3471.0
58,ATH,192.0,3303.0
47,COIN,265.0,3222.0
74,TELL,18.0,3149.0
33,SENS,223.0,3144.0
218,ANY,33.0,3131.0
62,PLUG,177.0,2978.0
141,HUGE,30.0,2901.0
366,GAME,30.0,2625.0
56,RBLX,152.0,2601.0
339,TURN,9.0,2223.0
94,RIDE,65.0,2202.0
57,VIAC,200.0,2194.0
17,AMZN,111.0,2067.0
60,GSAT,140.0,1896.0
84,BIG,65.0,1777.0
209,NAKD,75.0,1765.0
133,LMAO,94.0,1746.0
55,MOVE,25.0,1702.0
113,GOOD,56.0,1662.0
51,WOOF,98.0,1612.0
246,WELL,18.0,1607.0
34,GOEV,101.0,1504.0
134,REAL,36.0,1496.0
35,PSFE,126.0,1490.0
72,BABA,119.0,1469.0
96,PAY,10.0,1410.0
12,NVDA,138.0,1393.0
24,BBBY,61.0,1367.0
383,ZOM,77.0,1289.0
37,NEW,40.0,1263.0
86,RIOT,105.0,1258.0
365,TSM,29.0,1245.0
560,PLAN,3.0,1240.0
147,FREE,27.0,1196.0
139,FUBO,81.0,1130.0
119,RUN,46.0,1110.0
123,EVER,25.0,1088.0
112,HYLN,61.0,1031.0
250,PLUS,5.0,1011.0
13,USA,24.0,984.0
301,PTON,46.0,924.0
66,LIFE,31.0,921.0
166,MAN,31.0,897.0
153,EAT,13.0,877.0
114,DIS,57.0,872.0
269,API,5.0,847.0
68,BNGO,54.0,840.0
375,CIA,6.0,807.0
431,PSTH,48.0,797.0
53,MSFT,48.0,794.0
144,JOB,15.0,768.0
319,FUND,9.0,755.0
204,CASH,14.0,653.0
38,PUMP,17.0,600.0
488,HOPE,4.0,593.0
248,AKA,5.0,581.0
210,ORPH,36.0,571.0
312,CALM,12.0,536.0
91,NNDM,31.0,533.0
45,TECH,35.0,519.0
118,IMO,31.0,510.0
289,RAIN,2.0,508.0
280,NICE,9.0,503.0
80,WOW,25.0,499.0
105,LZB,41.0,491.0
89,PRPL,16.0,482.0
225,LOW,15.0,469.0
270,GDP,25.0,459.0
486,SKT,27.0,454.0
251,IBM,23.0,445.0
320,RMO,48.0,435.0
110,AAL,11.0,428.0
305,JNJ,16.0,423.0
268,FAST,13.0,415.0
231,SAVE,13.0,411.0
329,PEAK,5.0,406.0
247,SHIP,19.0,400.0
36,UBER,7.0,392.0
130,MARA,40.0,377.0
233,NKLA,33.0,376.0
196,WEN,23.0,373.0
146,PSA,14.0,361.0
556,WBS,2.0,359.0
342,CUZ,4.0,343.0
279,INFO,3.0,341.0
481,CAR,5.0,325.0
261,CCL,16.0,322.0
156,IRS,20.0,311.0
318,BTX,27.0,309.0
559,FOLD,3.0,307.0
108,DOW,25.0,307.0
295,LIVE,11.0,304.0
125,NFLX,16.0,295.0
98,ITUB,24.0,294.0
6,DIDI,34.0,291.0
168,STEP,3.0,288.0
145,VERY,12.0,288.0
466,SOS,22.0,288.0
175,MCD,3.0,285.0
190,VZIO,23.0,285.0
249,BBY,6.0,274.0
243,HEAR,11.0,250.0
174,CVAC,3.0,248.0
512,MSM,1.0,248.0
421,DDOG,3.0,247.0
308,CRY,6.0,247.0
