,row,ticker,frequency,score,buy_bin
0,27,GME,7554,360351,buy
1,23,AMC,5879,206158,buy
2,7,PLTR,4992,90611,buy
4,92,NOK,936,44803,buy
5,32,SNDL,1252,37284,buy
6,9,WISH,1826,35522,buy
7,25,TSLA,2119,30824,buy
8,28,CLOV,1544,28758,buy
9,117,MVIS,1303,27584,buy
10,1,CLNE,1373,26641,buy
12,8,TLRY,1311,23135,buy
17,22,UWMC,981,14844,buy
19,0,AAPL,949,13625,buy
20,31,RKT,918,13028,buy
23,30,WKHS,655,10360,buy
24,5,NIO,585,8015,buy
25,15,EDIT,42,7129,buy
26,41,CLF,471,7090,buy
28,2,AMD,629,6643,buy
30,14,SPCE,440,6017,buy
31,42,CRSR,288,5124,buy
32,46,ASO,399,5019,buy
33,124,OCGN,323,4981,buy
